PDB,ud,Hemetyp,Em_lit,ligup,ligdown,Elektrode,ax_qn,ax_ql,ax_qn_r,ax_ql_r,ligup_r,ligdown_r,Kategorie,HM,*_His/His,B_-/His,C_Met/His,Kategorie2,du ,uu ,ud ,dd ,ruffling,saddling,e_1_nbo,edisp_1_nbo,homo_1_nbo,lumo_1_nbo,chem_pot_1_nbo,diff_1_nbo,elekphil_1_nbo,dipole_1_nbo,qpole1_1_nbo,qpole2_1_nbo,qpole3_1_nbo,qpole4_1_nbo,e_2_nbo,edisp_2_nbo,homo_2_nbo,lumo_2_nbo,chem_pot_2_nbo,diff_2_nbo,elekphil_2_nbo,dipole_2_nbo,qpole1_2_nbo,qpole2_2_nbo,qpole3_2_nbo,qpole4_2_nbo,e_5_nbo,edisp_5_nbo,homo_5_nbo,lumo_5_nbo,chem_pot_5_nbo,diff_5_nbo,elekphil_5_nbo,dipole_5_nbo,qpole1_5_nbo,qpole2_5_nbo,qpole3_5_nbo,qpole4_5_nbo,e_6_nbo,edisp_6_nbo,homo_6_nbo,lumo_6_nbo,chem_pot_6_nbo,diff_6_nbo,elekphil_6_nbo,dipole_6_nbo,qpole1_6_nbo,qpole2_6_nbo,qpole3_6_nbo,qpole4_6_nbo,edif-2-1,edif-2-5,edif-6-1,edif-6-5
1CMQ,uu,B,-164.5,-,His,SHE,-/His,-/His,-/His,-/His,-,His,['B_-/His'],False,0,1,0,B_-/His,0,1,0,0,30.71014618895547,23.251650448546428,-3438.5999029,-78.78934451320916,-0.18325,-0.08619,-0.13472,0.09706000000000001,0.0935,4.8431,24.929897836795288,13.325321353682888,-38.25521919047817,47.56601508055407,-3438.4082125,-78.78934451320916,-0.29096,-0.19341,-0.24218,0.09755,0.30063,9.5523,22.23694051192211,10.2182324422595,-32.455172954181606,40.64765733737926,-3438.6003681999996,-78.78934451320916,-0.18214,-0.08956,-0.13585,0.09258,0.09967000000000001,5.2549,24.80056067838048,11.863613441646304,-36.664174120026786,45.82657305274404,-3438.4147294,-78.78934451320916,-0.29256,-0.19302,-0.24279,0.09954,0.2961,9.6126,22.557407043108164,9.882519259508896,-32.43992630261706,40.72897761965376,0.1916903999999704,0.1921556999996028,0.18517350000001898,0.18563879999965138
1QPU,uu,B,168.0,Met,His,SHE,Met/His,His/Met,Met/His,His/Met,Met,His,[],False,0,0,0,andere,0,1,0,0,12.85714626935701,6.820108410459441,-3879.195683,-94.64260094311176,-0.16396,-0.08672,-0.12534,0.07724,0.1017,5.2631,22.406064575200315,11.4163161944328,-33.822380769633114,42.14638120181408,-3879.0111397,-94.64260094311176,-0.27119,-0.2176,-0.24439,0.05359,0.55728,7.5838,46.397587303230374,-11.306737126762036,-35.09085017646833,59.26167547735448,-3879.1847871,-94.64260094311176,-0.11382,-0.06274,-0.08828,0.05108,0.07629,3.9321,29.35033684788415,15.70838927197628,-45.05872611986043,56.022179206160146,-3878.9887538000003,-94.64260094311176,-0.25859,-0.21902,-0.2388,0.03957,0.72059,9.1844,24.152789957861994,1.9162788300093965,-26.06906878787139,35.58968579733414,0.1845432999998593,0.17364739999993617,0.20692919999964943,0.1960332999997263
1JP9,ud,B,50.0,His,-,NHE,His/-,-/His,His/-,-/His,His,-,['B_-/His'],False,0,1,0,B_-/His,0,0,1,0,1.3568570115559595,0.5939719767425455,-3438.4917978,-80.45907291613732,-0.15478,-0.09966,-0.12722,0.05512,0.14682,6.3832,18.809174331220525,-1.3250912843725258,-17.484083046848,25.7144719160873,-3438.3257162,-80.45907291613732,-0.29914,-0.2363,-0.26771999999999996,0.06284,0.57029,10.0773,41.23505789803242,-6.218399221310492,-35.01665867672193,54.45332747970253,-3438.5399541999996,-80.45907291613732,-0.1715,-0.07304,-0.12227,0.09846,0.07592,5.8843,22.443141703989934,-8.049802690982036,-14.393339013007903,27.85071167587085,-3438.3367100999994,-80.45907291613732,-0.27873000000000003,-0.21479,-0.24675999999999998,0.06394,0.47615,6.9764,28.271999325748844,-1.73752263741644,-26.534476688332404,38.81241275564215,0.16608159999987038,0.21423799999956827,0.15508770000042205,0.20324410000011994
1V9Z,dd,B,65.5,His,Met,SHE,His/Met,His/Met,andere,His/Met,His,andere,[],False,0,0,0,andere,0,0,0,1,0.17054832938050155,1.3392396445619144,-3879.3065383000003,-91.39771269975272,-0.18473,-0.0876,-0.13617,0.09713,0.09544,7.9086,29.883260897038287,5.844605109954276,-35.72786600699257,46.943041019360656,-3879.1920053000003,-91.31763364396414,-0.28392,-0.19914,-0.24153000000000002,0.08478,0.34405,7.8282,29.273958819721614,-4.511703881064597,-24.762254938657023,38.606856988574116,-3879.296032,-91.39771269975272,-0.16813,-0.08506,-0.1266,0.08307,0.09646,8.4399,27.114229399025607,8.693268884896668,-35.80749828392227,45.748566023004415,-3879.2084236999995,-91.31763364396414,-0.28636999999999996,-0.18112999999999999,-0.23375,0.10524000000000001,0.25959,8.1198,29.03220996726528,-5.3489399167021645,-23.68327005056312,37.846765437798865,0.1145329999999376,0.10402669999984937,0.09811460000082661,0.08760830000073838
1A6K,ud,B,50.0,His,-,NHE,His/-,-/His,His/-,-/His,His,-,['B_-/His'],False,0,1,0,B_-/His,0,0,1,0,14.519886504738873,15.892665266315575,-3438.491317,-80.0827408031137,-0.17131,-0.08915,-0.13022999999999998,0.08216,0.10321,4.3748,28.284534184738437,-7.050285617324168,-21.234248567414266,36.06403629041292,-3438.2771778000006,-80.0827408031137,-0.27616999999999997,-0.22419,-0.25018,0.05198,0.60206,2.7231,33.88645337426602,-13.315176620644438,-20.57127675362158,41.81821466776591,-3438.5012385,-80.0827408031137,-0.17265999999999998,-0.09158,-0.13212000000000002,0.08108,0.10764000000000001,4.2376,28.19833318231727,-7.505362854253871,-20.692970328063407,35.772552122151275,-3438.303636,-80.0827408031137,-0.29908,-0.20820999999999998,-0.25365,0.09087,0.354,4.6152,45.4494114207347,-16.19391843658241,-29.255492984152287,56.42495779854582,0.21413919999940845,0.22406069999942702,0.18768099999988408,0.19760249999990265
1EUE,dd,B,-63.0,His,His,SHE,His/His,His/His,His/His,His/His,His,His,['*_His/His'],False,1,0,0,*_His/His,0,0,0,1,7.223485950275362,1.5611641017272189,-3627.4851729,-89.07529362593753,-0.17620999999999998,-0.08507999999999999,-0.13065,0.09112999999999999,0.09365,5.0877,44.22945750462379,-12.797519870711673,-31.43193763391211,55.74933297230755,-3627.3251477,-89.07529362593753,-0.29102,-0.17769000000000001,-0.23435,0.11333,0.24231,9.1676,29.53244849257145,-8.501608482874971,-21.03084000969648,37.23894590715382,-3627.4583814000002,-89.07529362593753,-0.11345999999999999,-0.07983,-0.09665,0.03363,0.13887,3.9672,51.883078145988215,-22.571400744886326,-29.31167740110189,63.722024183711575,-3627.3095111999996,-89.07529362593753,-0.2707,-0.17726,-0.22398,0.09344,0.26845,9.7555,25.05460071713305,-7.980356828919888,-17.074243888213164,31.35201614834423,0.16002520000029108,0.1332337000003463,0.17566170000054626,0.14887020000060147
1NSI,uu,B,-347.0,Arg,Cys,NHE,Arg/Cys,Arg/Cys,andere,andere,andere,andere,[],False,0,0,0,andere,0,1,0,0,8.677639134432921,18.04401552216352,-3535.484611,-74.10025659215418,-0.18785,-0.07388,-0.13087000000000001,0.11397,0.07513,4.8137,30.957588103480987,-6.884515898703417,-24.07307220477757,39.81559525764649,-3535.2802641999997,-74.10025659215418,-0.30461,-0.25299,-0.2788,0.051620000000000006,0.7529,8.5684,39.00500718573293,-9.727436957237202,-29.27757022849573,49.731174647851546,-3535.4856335999993,-74.10025659215418,-0.1707,-0.07678,-0.12374,0.09392,0.08151,4.7192,30.237775122113728,-7.9594298061766375,-22.27834531593709,38.392710729917326,-3535.2807454000003,-74.10025659215418,-0.30176,-0.19194,-0.24685,0.10982,0.27743,8.6203,41.22515179897735,-10.840869455337431,-30.38428234363992,52.34732280579802,0.2043468000001667,0.20536939999965398,0.20386559999951714,0.20488819999900443
1JDL,du,B,293.0,Met,His,NHE,Met/His,His/Met,Met/His,His/Met,Met,His,[],False,0,0,0,andere,1,0,0,0,8.690236179615269,9.387114924064873,-3879.4054453000003,-93.34748006882047,-0.18688,-0.07927999999999999,-0.13308,0.1076,0.0823,10.9959,39.12551570249797,11.137549200131481,-50.26306490262945,64.6624054190509,-3879.2149036,-93.34748006882047,-0.29336999999999996,-0.18765,-0.24051,0.10572000000000001,0.27358000000000005,12.8625,31.327084498025503,14.200761728231571,-45.527846226257076,57.05990395023589,-3879.3609744000005,-93.34748006882047,-0.12159,-0.08404,-0.10282000000000001,0.03755,0.14076,10.8827,41.2740134621355,9.107072431964838,-50.381085894100345,65.76273086956101,-3879.1940634999996,-93.34748006882047,-0.29536999999999997,-0.18975,-0.24256,0.10562,0.27852,13.2347,30.37754354783136,15.050672192473016,-45.42821574030437,56.683689636378716,0.19054170000026716,0.14607080000041606,0.2113818000007086,0.1669109000008575
1CCK,uu,B,-178.7,-,His,SHE,-/His,-/His,-/His,-/His,-,His,['B_-/His'],False,0,1,0,B_-/His,0,1,0,0,16.761481210422215,18.09976969549161,-3438.4632563,-78.52821065167973,-0.18189,-0.10026,-0.14107999999999998,0.08163,0.1219,8.8134,23.965461175734873,3.5985056953787167,-27.563966871113585,36.70238197007349,-3438.2602284,-78.52821065167973,-0.29381,-0.24366999999999997,-0.26874000000000003,0.05014,0.7202,12.690999999999999,34.545344877448464,-9.29120070262967,-25.254144174818798,43.78902900500232,-3438.4681871,-78.52821065167973,-0.17502,-0.08621000000000001,-0.13062,0.08881,0.09605,8.4346,23.153963507889586,3.2797201453229867,-26.433683653212572,35.29309028456473,-3438.2857505,-78.52821065167973,-0.28417,-0.2177,-0.25094,0.06647,0.47366,11.082,27.470039411873003,-11.023137514972728,-16.446901896900275,33.861677571705115,0.2030279000000519,0.20795869999983552,0.1775057999998353,0.18243659999961892
1DRM,ud,B,68.0,His,-,NHE,His/-,-/His,His/-,-/His,His,-,['B_-/His'],False,0,1,0,B_-/His,0,0,1,0,16.548710510010793,5.573944385401495,-3361.9760591,-77.03651415275988,-0.18015,-0.08556,-0.13285999999999998,0.09459,0.0933,12.8756,21.133795192884477,14.6227268515696,-35.756522044454066,44.03396766753969,-3361.7612117,-77.03651415275988,-0.30132,-0.20075,-0.25104,0.10057,0.31331,13.8438,29.19187974858598,12.7487645565907,-41.940644305176676,52.66606576495802,-3361.9813437,-77.03651415275988,-0.13292,-0.07195,-0.10243,0.06097,0.08605,13.6645,19.507700312700482,15.737236218016108,-35.244936530716586,43.248312410150916,-3361.7946471999994,-77.03651415275988,-0.29336999999999996,-0.20462,-0.249,0.08875,0.34929,14.7609,27.614254335925345,11.838730415797414,-39.45298475172275,49.59073084969375,0.2148474000000533,0.2201319999999214,0.1814119000005121,0.18669650000038018
1YCC,du,C,290.0,Met,His,SHE,Met/His,His/Met,Met/His,His/Met,Met,His,['C_Met/His'],False,0,0,1,C_Met/His,1,0,0,0,41.34941923860085,17.344883736802,-3880.4795585,-93.56652141065122,-0.13454000000000002,-0.11087999999999999,-0.12270999999999999,0.02366,0.31821,3.8501,30.504397707808156,-8.900510591440803,-21.60388711636735,38.424800674059775,-3880.3637983000003,-93.56652141065122,-0.28847,-0.18075,-0.23460999999999999,0.10772000000000001,0.25549,6.8203,22.30562512784521,-3.962413209465936,-18.343211918379282,29.14987229923253,-3880.5154272,-93.56652141065122,-0.14182,-0.0728,-0.10730999999999999,0.06902,0.08342000000000001,4.6471,26.289327019576756,-9.14490931429568,-17.144417705281068,32.690811246619376,-3880.332288,-93.56652141065122,-0.28312,-0.19998,-0.24155,0.08313999999999999,0.35089000000000004,7.0159,20.336141086258934,-2.2952843153440305,-18.040856770914907,27.281852537102687,0.11576019999984055,0.15162889999965046,0.14727050000010422,0.18313919999991413
1CYO,dd,B,-10.0,His,His,SHE,His/His,His/His,His/His,His/His,His,His,['*_His/His'],False,1,0,0,*_His/His,0,0,0,1,14.163252657485096,10.138061760320491,-3627.5400671999996,-91.31237178929182,-0.1672,-0.08274,-0.12497,0.08446000000000001,0.09246,4.7276,48.62663543691724,-7.256348066359499,-41.37028737055774,64.25499932532522,-3627.3655223000005,-91.31237178929182,-0.26994,-0.1826,-0.22626999999999997,0.08734,0.2931,7.3624,36.38127983748391,-2.7365066662926054,-33.644773171191304,49.629192549233466,-3627.5212398000003,-91.31237178929182,-0.11242,-0.055529999999999996,-0.08398,0.056889999999999996,0.06197999999999999,4.7221,56.95483701704335,-5.658634680864033,-51.29620233617932,76.85814192526188,-3627.3452553,-91.31237178929182,-0.26914,-0.18533,-0.22723000000000002,0.08381,0.30805,7.4985,33.36341644822472,-2.047926309535484,-31.31549013868924,45.803618655006964,0.17454489999909129,0.15571749999980966,0.19481189999942217,0.17598450000014054
1GU2,ud,C,-60.0,His,His,NHE,His/His,His/His,His/His,His/His,His,His,['*_His/His'],False,1,0,0,*_His/His,0,0,1,0,14.568770509987926,16.41609022075209,-3628.7908672,-91.195246706879,-0.1237,-0.09996000000000001,-0.11183,0.02374,0.26339,5.8865,22.60828785379348,8.362329998633252,-30.97061785242673,39.245922244827945,-3628.6871516999995,-91.195246706879,-0.27174,-0.18048,-0.22610999999999998,0.09126000000000001,0.28010999999999997,5.7965,22.988267685602,-0.5352268996628382,-22.45304078593916,32.13854320833574,-3628.8192358,-91.195246706879,-0.14959,-0.05855,-0.10407000000000001,0.09104,0.05948,5.8116,21.47634934291191,8.034154687757464,-29.51050403066937,37.37179510249583,-3628.6718093000004,-91.195246706879,-0.27333,-0.16859000000000002,-0.22096,0.10474000000000001,0.23306999999999997,5.9916,24.185778597738214,-1.4004820657801211,-22.785296531958092,33.25782576243741,0.10371550000036223,0.13208410000061122,0.11905789999946137,0.14742649999971036
1CYI,du,C,370.0,Met,His,SHE,Met/His,His/Met,Met/His,His/Met,Met,His,['C_Met/His'],False,0,0,1,C_Met/His,1,0,0,0,26.341056796870728,13.5635126517024,-3880.2729229999995,-93.83241637388441,-0.13285999999999998,-0.11244000000000001,-0.12265,0.020419999999999997,0.36834,8.7625,19.46132931702088,6.0232100153699015,-25.48453933239078,32.62643318934758,-3880.1544358,-93.83241637388441,-0.28164,-0.18289,-0.23226,0.09875,0.27315,9.6496,21.733629949382106,-3.917175116849318,-17.816454832532784,28.374654085511303,-3880.3057356,-93.83241637388441,-0.14843,-0.07525,-0.11184000000000001,0.07318,0.08546000000000001,9.2303,18.64715031768997,3.490423719330046,-22.137574037020016,29.15426996094277,-3880.1292581999996,-93.83241637388441,-0.2828,-0.20648000000000002,-0.24464,0.07632,0.39209,10.1808,25.255236822917286,-10.611028069551054,-14.644208753366227,31.062417061243085,0.11848719999943569,0.15129979999983334,0.1436647999998968,0.17647740000029444
1FHF,uu,B,-443.0,-,His,SHE,-/His,-/His,-/His,-/His,-,His,['B_-/His'],False,0,1,0,B_-/His,0,1,0,0,23.562326511223887,4.364126752541475,-3455.422494,-78.68582126383505,-0.1609,-0.09963999999999999,-0.13027,0.06126,0.13851,4.3885,42.0983687602411,9.593716524484812,-51.692085284725906,67.35268168461293,-3455.2265056999995,-78.68582126383505,-0.26514,-0.20617,-0.23565999999999998,0.05897,0.47086000000000006,9.5411,27.787161109396553,9.850890473363563,-37.63805158276011,47.80992880756336,-3455.4555316,-78.68582126383505,-0.17172,-0.07166,-0.12169,0.10006,0.07400000000000001,5.3105,37.296807627340606,7.870545562627001,-45.167353189967606,59.102344630577186,-3455.2753996,-78.68582126383505,-0.27867,-0.18374000000000001,-0.2312,0.09493,0.28155,9.5948,26.239482035474854,10.328073870334727,-36.56755590580958,46.17754510891205,0.19598830000040834,0.22902590000057899,0.14709439999978713,0.18013199999995777
1CMT,uu,B,-164.5,-,His,SHE,-/His,-/His,-/His,-/His,-,His,['B_-/His'],False,0,1,0,B_-/His,0,1,0,0,21.657506986017488,10.984077812090753,-3438.540003,-78.78968004259846,-0.19009,-0.10056,-0.14533,0.08953,0.11795,5.7389,35.56959306606265,-8.457295518382196,-27.112297547680456,45.517013028021076,-3438.3413125,-78.78968004259846,-0.30453,-0.20272,-0.25361999999999996,0.10181,0.31590999999999997,10.3841,21.034863928722952,-3.28235517760702,-17.752508751115933,27.719865120772692,-3438.5488998000005,-78.78968004259846,-0.18889,-0.09713,-0.14301,0.09176000000000001,0.11144000000000001,6.7024,32.66803124140466,-2.0021569935783035,-30.665874247826363,44.850916837895575,-3438.3303575000004,-78.78968004259846,-0.27712,-0.22279000000000002,-0.24995,0.054329999999999996,0.57498,10.8748,24.38899458100882,-4.392204785471183,-19.99678979553764,31.843148739986624,0.1986904999998842,0.2075873000003412,0.209645499999624,0.218542300000081
